Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time
VER,2.0,86.401,SOFT,2.0,1.0,28.387,29.504,28.51
VER,3.0,86.181,SOFT,3.0,1.0,28.205,29.457,28.519
VER,4.0,85.782,SOFT,4.0,1.0,27.936,29.17,28.676
VER,5.0,85.512,SOFT,5.0,1.0,27.904,29.341,28.267
VER,6.0,85.66,SOFT,6.0,1.0,28.188,29.273,28.199
VER,7.0,85.297,SOFT,7.0,1.0,28.071,29.065,28.161
VER,8.0,85.618,SOFT,8.0,1.0,28.02,29.303,28.295
VER,9.0,85.886,SOFT,9.0,1.0,28.062,29.337,28.487
VER,10.0,85.953,SOFT,10.0,1.0,28.097,29.415,28.441
VER,11.0,85.858,SOFT,11.0,1.0,28.012,29.461,28.385
VER,13.0,88.719,SOFT,13.0,1.0,30.937,29.383,28.399
VER,14.0,85.615,SOFT,14.0,1.0,28.139,29.153,28.323
VER,15.0,85.794,SOFT,15.0,1.0,28.218,29.284,28.292
VER,16.0,85.903,SOFT,16.0,1.0,28.244,29.252,28.407
VER,17.0,85.87,SOFT,17.0,1.0,28.22,29.382,28.268
VER,18.0,85.985,SOFT,18.0,1.0,28.295,29.373,28.317
VER,19.0,85.799,SOFT,19.0,1.0,28.199,29.274,28.326
VER,20.0,85.75,SOFT,20.0,1.0,28.151,29.329,28.27
VER,21.0,85.79,SOFT,21.0,1.0,28.178,29.399,28.213
VER,22.0,85.901,SOFT,22.0,1.0,28.136,29.482,28.283
VER,23.0,85.719,SOFT,23.0,1.0,28.199,29.376,28.144
VER,24.0,85.8,SOFT,24.0,1.0,28.223,29.331,28.246
VER,25.0,89.712,SOFT,25.0,1.0,28.158,29.438,32.116
VER,27.0,85.012,MEDIUM,2.0,2.0,28.035,28.872,28.105
VER,28.0,85.19,MEDIUM,3.0,2.0,28.036,29.111,28.043
VER,29.0,84.829,MEDIUM,4.0,2.0,28.022,28.944,27.863
VER,30.0,84.798,MEDIUM,5.0,2.0,27.941,28.899,27.958
VER,31.0,85.071,MEDIUM,6.0,2.0,27.98,29.01,28.081
