Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Sector1Time,Sector2Time,Sector3Time,Year,Event,Round
VER,2.0,93.433,MEDIUM,2.0,1.0,29.616,38.0,25.817,2023,British Grand Prix,10
VER,3.0,92.73,MEDIUM,3.0,1.0,29.38,37.69,25.66,2023,British Grand Prix,10
VER,4.0,92.78,MEDIUM,4.0,1.0,29.407,37.65,25.723,2023,British Grand Prix,10
VER,5.0,92.582,MEDIUM,5.0,1.0,29.338,37.403,25.841,2023,British Grand Prix,10
VER,6.0,93.027,MEDIUM,6.0,1.0,29.667,37.543,25.817,2023,British Grand Prix,10
VER,7.0,93.1,MEDIUM,7.0,1.0,29.726,37.612,25.762,2023,British Grand Prix,10
VER,8.0,92.884,MEDIUM,8.0,1.0,29.625,37.578,25.681,2023,British Grand Prix,10
VER,9.0,92.822,MEDIUM,9.0,1.0,29.78,37.489,25.553,2023,British Grand Prix,10
VER,10.0,92.594,MEDIUM,10.0,1.0,29.66,37.373,25.561,2023,British Grand Prix,10
VER,11.0,92.597,MEDIUM,11.0,1.0,29.586,37.463,25.548,2023,British Grand Prix,10
VER,12.0,92.687,MEDIUM,12.0,1.0,29.742,37.389,25.556,2023,British Grand Prix,10
VER,13.0,92.678,MEDIUM,13.0,1.0,29.703,37.319,25.656,2023,British Grand Prix,10
VER,14.0,93.046,MEDIUM,14.0,1.0,30.031,37.422,25.593,2023,British Grand Prix,10
VER,15.0,92.99,MEDIUM,15.0,1.0,29.96,37.469,25.561,2023,British Grand Prix,10
VER,16.0,92.808,MEDIUM,16.0,1.0,29.914,37.373,25.521,2023,British Grand Prix,10
VER,17.0,92.603,MEDIUM,17.0,1.0,29.803,37.276,25.524,2023,British Grand Prix,10
VER,18.0,92.507,MEDIUM,18.0,1.0,29.877,37.283,25.347,2023,British Grand Prix,10
VER,19.0,92.338,MEDIUM,19.0,1.0,29.799,37.24,25.299,2023,British Grand Prix,10
VER,20.0,92.295,MEDIUM,20.0,1.0,29.772,37.273,25.25,2023,British Grand Prix,10
VER,21.0,92.494,MEDIUM,21.0,1.0,29.903,37.239,25.352,2023,British Grand Prix,10
VER,22.0,92.184,MEDIUM,22.0,1.0,29.664,37.134,25.386,2023,British Grand Prix,10
VER,23.0,92.272,MEDIUM,23.0,1.0,29.759,37.172,25.341,2023,British Grand Prix,10
VER,24.0,92.35,MEDIUM,24.0,1.0,29.872,37.108,25.37,2023,British Grand Prix,10
VER,25.0,92.295,MEDIUM,25.0,1.0,29.912,37.183,25.2,2023,British Grand Prix,10
VER,26.0,92.276,MEDIUM,26.0,1.0,29.752,37.242,25.282,2023,British Grand Prix,10
VER,27.0,92.138,MEDIUM,27.0,1.0,29.668,37.223,25.247,2023,British Grand Prix,10
VER,28.0,92.215,MEDIUM,28.0,1.0,29.826,37.244,25.145,2023,British Grand Prix,10
VER,29.0,92.251,MEDIUM,29.0,1.0,29.871,37.266,25.114,2023,British Grand Prix,10
VER,30.0,92.363,MEDIUM,30.0,1.0,29.844,37.229,25.29,2023,British Grand Prix,10
VER,31.0,92.388,MEDIUM,31.0,1.0,29.905,37.23,25.253,2023,British Grand Prix,10
VER,32.0,92.21,MEDIUM,32.0,1.0,29.879,37.136,25.195,2023,British Grand Prix,10
VER,39.0,90.348,SOFT,9.0,2.0,28.668,36.724,24.956,2023,British Grand Prix,10
VER,40.0,90.547,SOFT,10.0,2.0,29.056,36.602,24.889,2023,British Grand Prix,10
VER,41.0,90.688,SOFT,11.0,2.0,29.118,36.63,24.94,2023,British Grand Prix,10
VER,42.0,90.275,SOFT,12.0,2.0,29.078,36.353,24.844,2023,British Grand Prix,10
VER,43.0,90.535,SOFT,13.0,2.0,29.205,36.344,24.986,2023,British Grand Prix,10
VER,44.0,90.648,SOFT,14.0,2.0,29.135,36.586,24.927,2023,British Grand Prix,10
VER,45.0,91.342,SOFT,15.0,2.0,29.245,36.759,25.338,2023,British Grand Prix,10
VER,46.0,91.114,SOFT,16.0,2.0,29.413,36.576,25.125,2023,British Grand Prix,10
VER,47.0,91.148,SOFT,17.0,2.0,29.339,36.621,25.188,2023,British Grand Prix,10
VER,48.0,91.4,SOFT,18.0,2.0,29.405,36.769,25.226,2023,British Grand Prix,10
VER,49.0,91.218,SOFT,19.0,2.0,29.336,36.686,25.196,2023,British Grand Prix,10
VER,50.0,91.292,SOFT,20.0,2.0,29.424,36.739,25.129,2023,British Grand Prix,10
VER,51.0,91.397,SOFT,21.0,2.0,29.4,36.701,25.296,2023,British Grand Prix,10
VER,52.0,90.975,SOFT,22.0,2.0,29.22,36.604,25.151,2023,British Grand Prix,10
GAS,2.0,94.706,MEDIUM,2.0,1.0,29.954,38.367,26.385,2023,British Grand Prix,10
GAS,3.0,93.605,MEDIUM,3.0,1.0,29.596,38.168,25.841,2023,British Grand Prix,10
GAS,4.0,93.349,MEDIUM,4.0,1.0,29.492,38.086,25.771,2023,British Grand Prix,10
GAS,5.0,93.863,MEDIUM,5.0,1.0,29.566,38.12,26.177,2023,British Grand Prix,10
GAS,6.0,94.143,MEDIUM,6.0,1.0,29.697,38.381,26.065,2023,British Grand Prix,10
GAS,7.0,94.399,MEDIUM,7.0,1.0,29.916,38.456,26.027,2023,British Grand Prix,10
GAS,8.0,93.905,MEDIUM,8.0,1.0,29.751,38.006,26.148,2023,British Grand Prix,10
GAS,9.0,93.592,MEDIUM,9.0,1.0,29.741,37.85,26.001,2023,British Grand Prix,10
GAS,10.0,93.855,MEDIUM,10.0,1.0,29.747,37.908,26.2,2023,British Grand Prix,10
GAS,11.0,93.836,MEDIUM,11.0,1.0,29.877,37.962,25.997,2023,British Grand Prix,10
GAS,12.0,93.705,MEDIUM,12.0,1.0,29.806,37.902,25.997,2023,British Grand Prix,10
GAS,13.0,93.683,MEDIUM,13.0,1.0,29.79,37.925,25.968,2023,British Grand Prix,10
GAS,14.0,93.843,MEDIUM,14.0,1.0,29.922,38.058,25.863,2023,British Grand Prix,10
GAS,15.0,93.769,MEDIUM,15.0,1.0,29.671,38.183,25.915,2023,British Grand Prix,10
GAS,16.0,93.535,MEDIUM,16.0,1.0,29.712,37.938,25.885,2023,British Grand Prix,10
GAS,17.0,93.138,MEDIUM,17.0,1.0,29.79,37.516,25.832,2023,British Grand Prix,10
GAS,18.0,93.291,MEDIUM,18.0,1.0,29.817,37.714,25.76,2023,British Grand Prix,10
GAS,19.0,93.199,MEDIUM,19.0,1.0,29.589,37.892,25.718,2023,British Grand Prix,10
GAS,20.0,93.248,MEDIUM,20.0,1.0,29.99,37.599,25.659,2023,British Grand Prix,10
GAS,21.0,93.098,MEDIUM,21.0,1.0,29.88,37.487,25.731,2023,British Grand Prix,10
GAS,22.0,93.168,MEDIUM,22.0,1.0,29.877,37.485,25.806,2023,British Grand Prix,10
GAS,23.0,92.846,MEDIUM,23.0,1.0,29.697,37.419,25.73,2023,British Grand Prix,10
GAS,24.0,93.164,MEDIUM,24.0,1.0,29.923,37.606,25.635,2023,British Grand Prix,10
GAS,25.0,93.098,MEDIUM,25.0,1.0,29.868,37.665,25.565,2023,British Grand Prix,10
GAS,26.0,93.243,MEDIUM,26.0,1.0,29.779,37.709,25.755,2023,British Grand Prix,10
GAS,27.0,92.988,MEDIUM,27.0,1.0,30.009,37.485,25.494,2023,British Grand Prix,10
GAS,28.0,93.255,MEDIUM,28.0,1.0,29.97,37.39,25.895,2023,British Grand Prix,10
GAS,29.0,93.283,MEDIUM,29.0,1.0,29.986,37.573,25.724,2023,British Grand Prix,10
GAS,30.0,93.299,MEDIUM,30.0,1.0,30.065,37.476,25.758,2023,British Grand Prix,10
GAS,31.0,93.391,MEDIUM,31.0,1.0,30.099,37.532,25.76,2023,British Grand Prix,10
GAS,39.0,92.98,SOFT,11.0,2.0,29.367,37.504,26.109,2023,British Grand Prix,10
GAS,40.0,92.823,SOFT,12.0,2.0,29.676,37.533,25.614,2023,British Grand Prix,10
GAS,41.0,91.827,SOFT,13.0,2.0,29.302,37.232,25.293,2023,British Grand Prix,10
GAS,42.0,91.539,SOFT,14.0,2.0,29.165,37.137,25.237,2023,British Grand Prix,10
GAS,43.0,91.648,SOFT,15.0,2.0,29.324,36.888,25.436,2023,British Grand Prix,10
GAS,44.0,92.862,SOFT,16.0,2.0,29.35,37.864,25.648,2023,British Grand Prix,10
GAS,45.0,96.665,SOFT,17.0,2.0,29.202,37.933,29.53,2023,British Grand Prix,10
PER,2.0,95.482,MEDIUM,2.0,1.0,30.357,38.727,26.398,2023,British Grand Prix,10
PER,3.0,94.38,MEDIUM,3.0,1.0,30.134,38.414,25.832,2023,British Grand Prix,10
PER,4.0,94.339,MEDIUM,4.0,1.0,29.668,38.564,26.107,2023,British Grand Prix,10
PER,5.0,94.073,MEDIUM,5.0,1.0,29.706,38.28,26.087,2023,British Grand Prix,10
PER,6.0,93.671,MEDIUM,6.0,1.0,29.579,38.359,25.733,2023,British Grand Prix,10
PER,7.0,93.919,MEDIUM,7.0,1.0,29.883,38.065,25.971,2023,British Grand Prix,10
PER,8.0,93.568,MEDIUM,8.0,1.0,29.897,37.909,25.762,2023,British Grand Prix,10
PER,9.0,93.271,MEDIUM,9.0,1.0,29.541,37.868,25.862,2023,British Grand Prix,10
PER,10.0,93.364,MEDIUM,10.0,1.0,29.769,37.805,25.79,2023,British Grand Prix,10
PER,11.0,93.547,MEDIUM,11.0,1.0,29.769,37.845,25.933,2023,British Grand Prix,10
PER,12.0,93.429,MEDIUM,12.0,1.0,29.824,38.0,25.605,2023,British Grand Prix,10
PER,13.0,93.452,MEDIUM,13.0,1.0,29.892,37.777,25.783,2023,British Grand Prix,10
PER,14.0,93.751,MEDIUM,14.0,1.0,30.06,37.957,25.734,2023,British Grand Prix,10
PER,15.0,93.48,MEDIUM,15.0,1.0,29.808,37.868,25.804,2023,British Grand Prix,10
PER,16.0,93.055,MEDIUM,16.0,1.0,29.795,37.899,25.361,2023,British Grand Prix,10
PER,17.0,93.28,MEDIUM,17.0,1.0,30.009,37.544,25.727,2023,British Grand Prix,10
PER,18.0,93.099,MEDIUM,18.0,1.0,29.904,37.549,25.646,2023,British Grand Prix,10
PER,19.0,93.276,MEDIUM,19.0,1.0,30.001,37.54,25.735,2023,British Grand Prix,10
PER,20.0,93.202,MEDIUM,20.0,1.0,29.931,37.611,25.66,2023,British Grand Prix,10
PER,21.0,93.233,MEDIUM,21.0,1.0,29.985,37.612,25.636,2023,British Grand Prix,10
PER,22.0,93.026,MEDIUM,22.0,1.0,30.023,37.422,25.581,2023,British Grand Prix,10
PER,23.0,93.262,MEDIUM,23.0,1.0,30.067,37.554,25.641,2023,British Grand Prix,10
PER,24.0,92.726,MEDIUM,24.0,1.0,29.884,37.353,25.489,2023,British Grand Prix,10
PER,25.0,92.907,MEDIUM,25.0,1.0,29.9,37.539,25.468,2023,British Grand Prix,10
PER,26.0,92.962,MEDIUM,26.0,1.0,29.956,37.492,25.514,2023,British Grand Prix,10
PER,27.0,92.742,MEDIUM,27.0,1.0,30.002,37.472,25.268,2023,British Grand Prix,10
PER,28.0,92.235,MEDIUM,28.0,1.0,29.82,37.427,24.988,2023,British Grand Prix,10
PER,30.0,91.408,SOFT,2.0,2.0,29.472,36.72,25.216,2023,British Grand Prix,10
PER,31.0,91.532,SOFT,3.0,2.0,29.571,36.796,25.165,2023,British Grand Prix,10
PER,32.0,104.38,SOFT,4.0,2.0,29.591,36.928,37.861,2023,British Grand Prix,10
PER,39.0,92.503,SOFT,11.0,2.0,29.361,37.509,25.633,2023,British Grand Prix,10
PER,40.0,91.909,SOFT,12.0,2.0,29.446,36.993,25.47,2023,British Grand Prix,10
PER,41.0,91.391,SOFT,13.0,2.0,29.132,36.985,25.274,2023,British Grand Prix,10
PER,42.0,91.716,SOFT,14.0,2.0,29.184,37.07,25.462,2023,British Grand Prix,10
PER,43.0,92.005,SOFT,15.0,2.0,29.171,37.002,25.832,2023,British Grand Prix,10
PER,44.0,91.712,SOFT,16.0,2.0,29.383,36.961,25.368,2023,British Grand Prix,10
PER,45.0,91.571,SOFT,17.0,2.0,29.104,36.891,25.576,2023,British Grand Prix,10
PER,46.0,91.675,SOFT,18.0,2.0,29.205,37.263,25.207,2023,British Grand Prix,10
PER,47.0,91.505,SOFT,19.0,2.0,29.226,36.941,25.338,2023,British Grand Prix,10
PER,48.0,91.209,SOFT,20.0,2.0,29.269,36.799,25.141,2023,British Grand Prix,10
PER,49.0,91.36,SOFT,21.0,2.0,29.306,36.858,25.196,2023,British Grand Prix,10
PER,50.0,91.139,SOFT,22.0,2.0,29.215,36.714,25.21,2023,British Grand Prix,10
PER,51.0,90.914,SOFT,23.0,2.0,29.181,36.719,25.014,2023,British Grand Prix,10
PER,52.0,91.188,SOFT,24.0,2.0,29.16,36.809,25.219,2023,British Grand Prix,10
ALO,2.0,94.419,MEDIUM,3.0,1.0,30.019,38.184,26.216,2023,British Grand Prix,10
ALO,3.0,93.424,MEDIUM,4.0,1.0,29.461,38.136,25.827,2023,British Grand Prix,10
ALO,4.0,93.156,MEDIUM,5.0,1.0,29.311,37.956,25.889,2023,British Grand Prix,10
ALO,5.0,94.157,MEDIUM,6.0,1.0,29.7,38.245,26.212,2023,British Grand Prix,10
ALO,6.0,94.636,MEDIUM,7.0,1.0,29.935,38.452,26.249,2023,British Grand Prix,10
ALO,7.0,94.645,MEDIUM,8.0,1.0,29.904,38.838,25.903,2023,British Grand Prix,10
ALO,8.0,94.019,MEDIUM,9.0,1.0,29.808,38.063,26.148,2023,British Grand Prix,10
ALO,9.0,93.657,MEDIUM,10.0,1.0,29.725,37.858,26.074,2023,British Grand Prix,10
ALO,10.0,93.711,MEDIUM,11.0,1.0,29.682,37.85,26.179,2023,British Grand Prix,10
ALO,11.0,93.737,MEDIUM,12.0,1.0,29.728,37.938,26.071,2023,British Grand Prix,10
ALO,12.0,93.951,MEDIUM,13.0,1.0,29.945,37.914,26.092,2023,British Grand Prix,10
ALO,13.0,93.565,MEDIUM,14.0,1.0,29.782,37.746,26.037,2023,British Grand Prix,10
ALO,14.0,93.88,MEDIUM,15.0,1.0,29.998,37.888,25.994,2023,British Grand Prix,10
ALO,15.0,93.736,MEDIUM,16.0,1.0,29.935,37.836,25.965,2023,British Grand Prix,10
ALO,16.0,93.437,MEDIUM,17.0,1.0,29.883,37.682,25.872,2023,British Grand Prix,10
ALO,17.0,93.188,MEDIUM,18.0,1.0,29.839,37.445,25.904,2023,British Grand Prix,10
ALO,18.0,93.317,MEDIUM,19.0,1.0,29.918,37.584,25.815,2023,British Grand Prix,10
ALO,19.0,93.185,MEDIUM,20.0,1.0,29.909,37.553,25.723,2023,British Grand Prix,10
ALO,20.0,93.016,MEDIUM,21.0,1.0,29.725,37.534,25.757,2023,British Grand Prix,10
ALO,21.0,93.19,MEDIUM,22.0,1.0,29.899,37.508,25.783,2023,British Grand Prix,10
ALO,22.0,93.092,MEDIUM,23.0,1.0,29.805,37.487,25.8,2023,British Grand Prix,10
ALO,23.0,93.026,MEDIUM,24.0,1.0,29.727,37.577,25.722,2023,British Grand Prix,10
ALO,24.0,93.017,MEDIUM,25.0,1.0,29.916,37.416,25.685,2023,British Grand Prix,10
ALO,25.0,93.078,MEDIUM,26.0,1.0,29.773,37.637,25.668,2023,British Grand Prix,10
ALO,26.0,93.152,MEDIUM,27.0,1.0,29.82,37.724,25.608,2023,British Grand Prix,10
ALO,27.0,92.914,MEDIUM,28.0,1.0,29.825,37.593,25.496,2023,British Grand Prix,10
ALO,28.0,92.744,MEDIUM,29.0,1.0,29.672,37.545,25.527,2023,British Grand Prix,10
ALO,29.0,92.727,MEDIUM,30.0,1.0,29.803,37.454,25.47,2023,British Grand Prix,10
ALO,30.0,92.686,MEDIUM,31.0,1.0,29.735,37.458,25.493,2023,British Grand Prix,10
ALO,31.0,92.916,MEDIUM,32.0,1.0,29.818,37.416,25.682,2023,British Grand Prix,10
